item;english;spanish;spanish2
id;id;id;id
P1;;1. Megustaría que terminase hoy el confinamiento;1. Megustaría que terminase hoy el confinamiento
P2;;2. Me gustan las clases virtuales (online);2. Estoy de acuerdo con que todos los alumnos pasen de curso debido al COVID19
P3;;3. Me gustan las clases presenciales (en el instituto);3. Me gusta que mi hijo tenga clases presenciales (en el instituto)
P4;;4. Prefiero que el profesor cualgue el contenido en lugar de las clases virtuales en directo;4. Me gusta que mi hijo tenga clases virtuales (en casa)
P5;;5. Prefiero las clases virtuales en lugar de las clases presenciales;5. Prefiero que mi hijo tenga clases virtuales en lugar de las clases presenciales
P6;I don't understand statistics.;6. Los profesores han resuelto todas mis dudas;6. Creo que mi hijo está aprendiendo más académicamente que cuando iba al instituto
P7;I have never been good at mathematics.;7. Los profesores me realizan un seguimiento individual;7. Creo que mi hijo se ha sentido muy estresado esta semana
P8;I slip into a coma whenever I see an equation.;8. Mis profesores me motivan mucho;8. Creo que mi hijo se ha sentido más estresado que antes del confinamiento
P9;I did badly at mathematics at school.;9. Las tareas estan adaptadas a tiempo y materia;9. Creo que mi hijo se ha sentido muy motivado para estudiar esta semana
P10;My friends are better at statistics than me.;10. Tengo mucha experiencia previa en clases online;10. Creo que mi hijo se ha sentido más motivado que antes del confinamiento
P12;My friends are better at R than I am.;11. Echo mucho de menos interactuar en persona con el profesor;12. MI hijo ha estudiado más que antes del confinamiento
P13;If I'm good at statistics my friends will think I'm a nerd.;12. No echo para nada de menos a mis compañeros de clase;13. Le hemos ayudado muchísimo con sus deberes
P14;My friends will think I'm stupid for not being able to cope with R. ;13. Durante el confinamiento estoy aprendiendo mucho más académicamente;14. Le hemos ayudado mucho más que antes del confinamiento
Curso;;;Curso
;;;
;;;
;;;
Curso;;;Curso
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Curso;;;Curso
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;Curso;;
